lat	lon	Delta_18_16	Delta_D_H	DX	origin	type	subtype
45.87	5.32	-8.58	-58.20	10.40	lsce	measure	
46.20	5.29	-8.80	-58.50	11.90	lsce	measure	
46.12	5.49	-9.12	-60.80	12.10	lsce	measure	
49.37	3.32	-6.40	-44.30	6.90	lsce	measure	
46.50	3.78	-7.55	-51.30	9.10	lsce	measure	
43.83	5.79	-10.89	-78.40	8.80	lsce	measure	
44.04	5.63	-9.75	-66.70	11.20	lsce	measure	
44.20	5.94	-9.09	-62.30	10.40	lsce	measure	
43.96	5.78	-7.28	-48.90	9.40	lsce	measure	
43.95	6.81	-9.25	-60.40	13.50	lsce	measure	
44.39	6.65	-12.69	-89.40	12.20	lsce	measure	
44.90	6.64	-13.89	-100.10	11.00	lsce	measure	
44.94	6.75	-13.67	-99.20	10.20	lsce	measure	
43.58	7.05	-9.02	-58.00	14.20	lsce	measure	
44.10	7.51	-10.77	-73.70	12.50	lsce	measure	
44.52	4.01	-6.83	-38.90	15.70	lsce	measure	
44.35	4.37	-6.57	-40.70	11.80	lsce	measure	
44.62	4.39	-8.06	-50.8	13.7	lsce	measure	
49.427	4.955	-7.30	-47.17	11.2	lsce	measure	
42.92	1.03	-9.10	-60.40	12.40	lsce	measure	
48.07	4.47	-7.61	-49.70	11.30	lsce	measure	
48.28	4.06	-7.01	-48.50	7.60	lsce	measure	
48.23	4.04	-7.07	-47.10	9.40	lsce	measure	
43.22	2.35	-9.72	-64.80	12.90	lsce	measure	
43.22	3.09	-7.88	-51.80	11.20	lsce	measure	
43.03	2.98	-6.17	-36.40	13.00	lsce	measure	
43.273	5.430	-10.84	-79.7	7.0	lsce	measure	
43.53	5.45	-9.74	-67.20	10.70	lsce	measure	
43.52	5.58	-8.36	-57.70	9.10	lsce	measure	
43.68	4.56	-10.07	-70.60	10.00	lsce	measure	
49.184	-0.360	-6.63	-42.60	10.5	lsce	measure	
49.01	0.15	-6.95	-44.40	11.20	lsce	measure	
49.29	-0.10	-6.74	-42.80	11.10	lsce	measure	
49.047	-0.775	-6.85	-42.1	12.7	lsce	measure	
48.90	-0.20	-6.66	-43.10	10.10	lsce	measure	
49.36	-0.88	-6.44	-39.00	12.50	lsce	measure	
49.17	-0.28	-5.79	-37.90	8.40	lsce	measure	
44.88	2.65	-8.35	-52.40	14.40	lsce	measure	
44.90	2.66	-8.28	-52.70	13.60	lsce	measure	
45.65	0.15	-6.10	-37.80	11.00	lsce	measure	
45.70	-0.33	-5.64	-34.10	11.00	lsce	measure	
45.61	-0.33	-5.49	-33.00	10.90	lsce	measure	
45.88	0.07	-5.60	-35.10	9.70	lsce	measure	
45.483	0.277	-6.09	-37.69	11.0	lsce	measure	
45.74	0.24	-6.09	-37.10	11.60	lsce	measure	
45.75	-0.64	-5.75	-34.10	12.00	lsce	measure	
46.01	-1.18	-4.83	-31.30	7.30	lsce	measure	
45.60	-0.75	-5.76	-33.90	12.20	lsce	measure	
45.94	-0.96	-4.60	-29.70	7.10	lsce	measure	
45.83	-1.11	-5.53	-33.70	10.50	lsce	measure	
45.83	-1.20	-5.67	-33.40	12.00	lsce	measure	
45.99	-1.08	-5.05	-31.20	9.30	lsce	measure	
45.61	-0.60	-5.51	-33.30	10.70	lsce	measure	
46.75	2.42	-6.79	-45.40	8.90	lsce	measure	
45.51	2.32	-7.68	-49.80	11.60	lsce	measure	
45.36	1.57	-6.79	-42.80	11.50	lsce	measure	
41.65	8.87	-6.24	-37.40	12.50	lsce	measure	
41.77	9.08	-7.62	-44.80	16.10	lsce	measure	
41.74	9.34	-6.23	-38.70	11.10	lsce	measure	
42.694	9.447	-8.36	-52.07	14.8	lsce	measure	
42.63	9.35	-7.80	-45.50	17.00	lsce	measure	
42.81	9.43	-7.83	-45.20	17.50	lsce	measure	
42.61	8.90	-8.79	-58.40	11.90	lsce	measure	
42.57	8.76	-8.74	-57.10	12.80	lsce	measure	
47.322	5.036	-7.65	-51.5	9.7	lsce	measure	
47.02	5.12	-7.50	-51.40	8.60	lsce	measure	
47.105	4.714	-8.06	-54.2	10.3	lsce	measure	
47.01	4.79	-8.02	-53.60	10.50	lsce	measure	
48.51	-2.77	-5.86	-36.70	10.10	lsce	measure	
48.65	-2.83	-6.42	-40.30	11.00	lsce	measure	
48.80	-3.24	-5.86	-36.60	10.30	lsce	measure	
48.32	-2.26	-5.95	-36.80	10.80	lsce	measure	
48.56	-2.53	-4.54	-31.90	4.40	lsce	measure	
48.38	-3.13	-6.16	-36.20	13.10	lsce	measure	
46.23	2.08	-6.71	-45.50	8.10	lsce	measure	
44.84	0.74	-6.39	-40.30	10.90	lsce	measure	
44.94	0.94	-6.37	-39.90	11.10	lsce	measure	
45.13	1.19	-6.57	-41.60	10.90	lsce	measure	
45.44	0.78	-6.54	-40.70	11.60	lsce	measure	
44.68	0.89	-6.62	-41.80	11.10	lsce	measure	
45.05	0.96	-7.21	-45.80	11.90	lsce	measure	
45.05	0.98	-7.12	-44.90	12.10	lsce	measure	
44.94	1.01	-6.56	-41.80	10.70	lsce	measure	
44.97	1.03	-6.68	-42.20	11.30	lsce	measure	
45.24	1.06	-6.47	-40.80	10.90	lsce	measure	
47.245	6.026	-8.82	-59.08	11.5	lsce	measure	
46.78	6.28	-9.73	-66.30	11.50	lsce	measure	
47.51	6.80	-9.89	-68.70	10.40	lsce	measure	
46.91	6.36	-9.76	-67.70	10.30	lsce	measure	
46.79	6.35	-9.84	-68.50	10.20	lsce	measure	
44.75	5.37	-10.03	-67.30	12.90	lsce	measure	
44.455	4.757	-7.07	-46.3	10.3	lsce	measure	
44.87	4.87	-8.23	-55.60	10.20	lsce	measure	
49.31	1.77	-7.21	-46.60	11.10	lsce	measure	
49.12	0.85	-7.18	-46.70	10.80	lsce	measure	
49.21	1.22	-7.11	-45.80	11.00	lsce	measure	
49.38	0.60	-7.14	-44.80	12.20	lsce	measure	
48.28	1.22	-6.90	-45.80	9.40	lsce	measure	
48.24	1.08	-6.83	-44.40	10.30	lsce	measure	
48.47	1.58	-7.16	-47.50	9.80	lsce	measure	
48.27	1.86	-6.80	-44.80	9.60	lsce	measure	
48.80	1.50	-7.21	-47.60	10.10	lsce	measure	
48.10	-4.33	-4.98	-28.60	11.20	lsce	measure	
48.388	-4.490	-5.05	-30.26	10.1	lsce	measure	
47.99	-4.46	-5.04	-28.80	11.60	lsce	measure	
48.64	-4.45	-5.41	-32.00	11.20	lsce	measure	
48.63	-4.51	-5.23	-30.70	11.10	lsce	measure	
47.819	-3.791	-4.84	-28.8	9.9	lsce	measure	
47.995	-4.109	-5.10	-29.1	11.7	lsce	measure	
43.84	4.36	-9.49	-66.60	9.40	lsce	measure	
44.05	3.99	-5.46	-30.80	12.90	lsce	measure	
43.97	3.86	-5.81	-31.80	14.80	lsce	measure	
44.19	4.52	-5.95	-36.50	11.10	lsce	measure	
44.11	4.59	-7.74	-51.30	10.60	lsce	measure	
43.98	4.17	-5.11	-30.90	9.90	lsce	measure	
44.31	4.35	-6.70	-40.30	13.30	lsce	measure	
44.22	4.35	-5.89	-34.50	12.60	lsce	measure	
43.60	1.45	-9.20	-62.90	10.70	lsce	measure	
43.586	1.541	-9.32	-62.27	12.3	lsce	measure	
43.11	0.61	-9.25	-61.10	12.90	lsce	measure	
43.46	2.00	-6.91	-43.60	11.70	lsce	measure	
43.66	1.19	-9.10	-61.10	11.60	lsce	measure	
43.36	1.62	-9.96	-67.00	12.70	lsce	measure	
43.52	1.56	-7.15	-44.00	13.30	lsce	measure	
43.65	0.59	-9.34	-63.80	10.90	lsce	measure	
43.52	0.16	-6.62	-43.70	9.30	lsce	measure	
44.56	-0.18	-7.79	-50.10	12.20	lsce	measure	
44.65	-0.33	-7.14	-45.40	11.80	lsce	measure	
45.07	-0.79	-5.63	-34.50	10.60	lsce	measure	
44.81	-0.63	-5.87	-36.70	10.30	lsce	measure	
44.55	-0.87	-5.69	-35.40	10.20	lsce	measure	
44.29	-0.23	-7.16	-45.40	11.90	lsce	measure	
45.19	-0.49	-5.79	-35.50	10.80	lsce	measure	
43.61	3.87	-5.54	-32.30	12.00	lsce	measure	
43.34	3.29	-5.97	-34.30	13.50	lsce	measure	
43.67	3.36	-6.05	-33.50	14.90	lsce	measure	
43.63	3.42	-6.10	-35.00	13.80	lsce	measure	
48.27	-1.20	-6.13	-37.70	11.30	lsce	measure	
48.57	-1.97	-5.98	-37.60	10.20	lsce	measure	
48.09	-1.10	-4.76	-31.60	6.50	lsce	measure	
48.01	-1.84	-6.26	-41.30	8.80	lsce	measure	
48.63	-2.06	-6.06	-39.50	9.00	lsce	measure	
46.73	0.95	-6.12	-40.70	8.30	lsce	measure	
46.85	1.54	-6.44	-42.10	9.40	lsce	measure	
46.64	1.42	-6.75	-44.20	9.80	lsce	measure	
47.33	0.41	-7.06	-46.30	10.20	lsce	measure	
47.10	0.62	-7.18	-47.10	10.30	lsce	measure	
45.16	6.00	-10.47	-74.50	9.30	lsce	measure	
45.19	5.76	-11.46	-81.10	10.50	lsce	measure	
45.54	5.67	-9.51	-66.30	9.80	lsce	measure	
45.37	5.59	-9.83	-67.00	11.70	lsce	measure	
45.53	4.91	-8.44	-58.70	8.80	lsce	measure	
46.67	5.55	-7.73	-53.20	8.70	lsce	measure	
43.71	-1.05	-6.31	-36.30	14.20	lsce	measure	
43.665	-1.395	-6.07	-35.1	13.5	lsce	measure	
43.72	-0.27	-8.37	-53.80	13.20	lsce	measure	
47.66	1.37	-6.53	-44.00	8.30	lsce	measure	
47.25	1.35	-7.79	-52.50	9.80	lsce	measure	
47.48	1.18	-7.54	-49.20	11.20	lsce	measure	
47.42	2.05	-7.06	-49.40	7.10	lsce	measure	
47.348	2.050	-7.52	-50.7	9.4	lsce	measure	
47.70	1.51	-6.98	-46.40	9.50	lsce	measure	
45.38	4.00	-8.94	-58.20	13.40	lsce	measure	
46.16	4.30	-8.20	-52.40	13.20	lsce	measure	
44.94	4.00	-9.11	-60.20	12.70	lsce	measure	
45.12	3.72	-9.40	-63.40	11.80	lsce	measure	
44.77	3.88	-9.22	-61.20	12.60	lsce	measure	
44.87	3.92	-9.56	-64.20	12.30	lsce	measure	
47.196	-1.531	-6.63	-44.27	8.8	lsce	measure	
47.09	-1.28	-6.56	-43.80	8.70	lsce	measure	
47.12	-2.10	-6.14	-40.50	8.60	lsce	measure	
47.30	-1.55	-6.81	-45.30	9.20	lsce	measure	
47.42	-1.01	-5.94	-41.40	6.10	lsce	measure	
47.27	-2.34	-4.63	-30.90	6.20	lsce	measure	
47.21	-1.65	-6.71	-44.60	9.10	lsce	measure	
47.82	1.64	-6.58	-43.60	9.00	lsce	measure	
47.82	2.82	-7.90	-52.50	10.70	lsce	measure	
48.16	2.21	-6.88	-45.20	9.80	lsce	measure	
47.93	2.14	-6.92	-46.60	8.80	lsce	measure	
44.51	1.64	-7.12	-45.10	11.80	lsce	measure	
45.03	1.52	-6.86	-42.70	12.20	lsce	measure	
44.502	0.161	-7.65	-49.86	11.4	lsce	measure	
44.476	0.038	-7.52	-48.80	11.3	lsce	measure	
44.16	0.61	-7.61	-50.30	10.60	lsce	measure	
44.32	0.09	-6.00	-37.80	10.20	lsce	measure	
44.56	3.26	-8.44	-54.30	13.30	lsce	measure	
44.44	3.93	-6.34	-34.90	15.90	lsce	measure	
47.54	-0.34	-6.65	-42.80	10.40	lsce	measure	
47.72	-0.91	-5.82	-37.20	9.40	lsce	measure	
49.64	-1.63	-5.84	-35.00	11.70	lsce	measure	
49.66	-1.57	-5.97	-36.00	11.70	lsce	measure	
48.64	-1.51	-6.18	-38.00	11.40	lsce	measure	
49.22	-1.53	-5.73	-34.50	11.40	lsce	measure	
49.61	-1.82	-6.10	-35.40	13.40	lsce	measure	
49.71	-1.90	-6.15	-36.20	13.00	lsce	measure	
48.92	-1.44	-6.03	-36.80	11.40	lsce	measure	
49.59	-1.24	-6.25	-37.80	12.20	lsce	measure	
49.51	-1.47	-5.94	-37.10	10.40	lsce	measure	
49.69	-1.45	-6.19	-38.30	11.30	lsce	measure	
48.96	4.36	-6.88	-47.00	8.00	lsce	measure	
49.26	4.03	-7.13	-48.20	8.80	lsce	measure	
48.73	3.72	-7.37	-48.00	11.00	lsce	measure	
49.34	4.02	-6.88	-45.50	9.50	lsce	measure	
48.72	4.58	-7.26	-49.40	8.70	lsce	measure	
49.00	3.97	-6.70	-44.20	9.40	lsce	measure	
48.11	5.14	-7.79	-50.80	11.50	lsce	measure	
48.057	4.960	-7.29	-49.4	8.9	lsce	measure	
47.977	5.498	-7.85	-52.60	10.2	lsce	measure	
47.89	5.09	-7.85	-50.80	12.00	lsce	measure	
48.30	-0.61	-6.13	-38.10	11.00	lsce	measure	
47.83	-0.71	-5.26	-34.20	7.90	lsce	measure	
48.10	-0.35	-6.37	-39.60	11.30	lsce	measure	
48.01	-0.39	-6.23	-39.00	10.80	lsce	measure	
47.87	-0.48	-5.81	-37.40	9.10	lsce	measure	
48.30	-0.94	-6.03	-36.40	11.90	lsce	measure	
48.07	-0.83	-6.35	-38.50	12.20	lsce	measure	
48.66	6.16	-8.59	-57.30	11.50	lsce	measure	
48.47	5.43	-7.69	-50.70	10.90	lsce	measure	
49.12	5.53	-7.48	-50.60	9.30	lsce	measure	
47.66	-2.76	-5.25	-30.20	11.80	lsce	measure	
47.74	-3.36	-5.35	-31.20	11.50	lsce	measure	
47.52	-2.65	-3.99	-26.20	5.60	lsce	measure	
47.828	-3.199	-5.28	-31.03	11.2	lsce	measure	
47.58	-3.03	-5.27	-30.90	11.30	lsce	measure	
47.62	-2.73	-5.04	-30.70	9.60	lsce	measure	
49.05	7.43	-8.64	-57.90	11.30	lsce	measure	
48.82	7.15	-8.91	-59.70	11.60	lsce	measure	
49.14	6.41	-7.46	-51.80	7.90	lsce	measure	
46.99	3.16	-6.79	-47.40	6.90	lsce	measure	
46.94	3.16	-6.69	-45.60	7.90	lsce	measure	
47.34	2.93	-7.06	-47.50	9.00	lsce	measure	
46.98	3.09	-6.86	-47.10	7.80	lsce	measure	
47.195	4.057	-6.77	-46.2	8.0	lsce	measure	
46.91	3.76	-6.77	-46.20	8.00	lsce	measure	
50.628	3.045	-6.51	-42.48	9.6	lsce	measure	
50.60	3.19	-6.78	-44.60	9.60	lsce	measure	
50.33	3.07	-6.59	-44.00	8.80	lsce	measure	
50.61	2.85	-6.78	-44.90	9.40	lsce	measure	
50.36	3.52	-7.03	-45.90	10.30	lsce	measure	
50.31	3.99	-6.82	-44.70	9.80	lsce	measure	
50.28	3.97	-7.13	-46.70	10.30	lsce	measure	
49.61	2.21	-7.44	-48.40	11.10	lsce	measure	
49.41	2.83	-7.07	-46.50	10.10	lsce	measure	
49.35	3.03	-7.16	-46.90	10.40	lsce	measure	
50.73	1.61	-6.56	-40.50	12.00	lsce	measure	
50.49	2.81	-6.58	-43.40	9.20	lsce	measure	
50.75	2.25	-6.95	-43.80	11.80	lsce	measure	
45.78	3.08	-8.71	-57.60	12.10	lsce	measure	
45.60	2.73	-8.92	-56.80	14.50	lsce	measure	
45.74	2.82	-8.57	-55.50	13.10	lsce	measure	
45.88	3.57	-8.39	-54.70	12.40	lsce	measure	
45.47	3.25	-8.26	-54.10	12.00	lsce	measure	
45.54	3.25	-8.26	-53.80	12.30	lsce	measure	
45.51	2.86	-9.26	-59.50	14.60	lsce	measure	
45.57	2.94	-9.26	-60.70	13.40	lsce	measure	
43.42	-0.58	-9.64	-64.10	13.00	lsce	measure	
43.48	-1.56	-7.07	-42.50	14.10	lsce	measure	
43.47	-0.32	-8.56	-53.60	14.80	lsce	measure	
43.11	-0.86	-7.65	-46.90	14.30	lsce	measure	
42.98	-0.60	-8.52	-55.30	12.90	lsce	measure	
43.23	-0.08	-8.98	-57.70	14.10	lsce	measure	
42.89	-0.11	-11.17	-75.80	13.50	lsce	measure	
42.73	-0.01	-10.16	-68.70	12.70	lsce	measure	
42.87	-0.02	-11.00	-74.90	13.10	lsce	measure	
43.10	0.36	-8.22	-53.20	12.60	lsce	measure	
42.71	0.29	-10.61	-72.90	12.00	lsce	measure	
42.82	0.32	-11.41	-78.10	13.10	lsce	measure	
43.19	0.22	-9.13	-59.80	13.20	lsce	measure	
42.82	0.41	-10.82	-73.50	13.00	lsce	measure	
42.84	0.40	-10.67	-72.60	12.80	lsce	measure	
43.53	-0.02	-7.26	-47.50	10.50	lsce	measure	
42.70	2.89	-8.50	-55.30	12.70	lsce	measure	
42.81	2.37	-9.00	-58.20	13.80	lsce	measure	
42.62	2.46	-9.95	-67.50	12.10	lsce	measure	
42.48	3.13	-7.40	-46.50	12.80	lsce	measure	
42.51	3.12	-7.36	-46.30	12.60	lsce	measure	
42.52	2.93	-6.82	-44.60	9.90	lsce	measure	
48.57	7.73	-9.93	-71.20	8.20	lsce	measure	
48.45	7.25	-9.40	-62.90	12.30	lsce	measure	
48.49	7.32	-9.23	-62.90	10.90	lsce	measure	
48.46	7.48	-8.57	-60.00	8.50	lsce	measure	
48.86	7.32	-8.58	-58.20	10.40	lsce	measure	
48.91	7.42	-8.59	-59.10	9.60	lsce	measure	
48.67	7.51	-8.85	-62.10	8.80	lsce	measure	
48.35	7.13	-8.83	-58.00	12.60	lsce	measure	
48.76	7.36	-8.72	-59.90	9.90	lsce	measure	
48.08	7.36	-8.91	-65.30	6.00	lsce	measure	
47.75	7.33	-8.43	-59.10	8.30	lsce	measure	
48.05	7.13	-10.01	-66.40	13.60	lsce	measure	
47.70	7.36	-8.68	-61.80	7.60	lsce	measure	
47.72	7.14	-8.78	-59.40	10.80	lsce	measure	
45.75	4.84	-10.14	-73.10	8.00	lsce	measure	
45.99	4.72	-7.79	-54.70	7.60	lsce	measure	
45.81	4.77	-9.78	-70.40	7.80	lsce	measure	
46.06	4.49	-7.64	-53.20	7.90	lsce	measure	
47.59	5.83	-7.67	-51.80	9.60	lsce	measure	
47.69	6.05	-7.96	-53.20	10.40	lsce	measure	
46.31	4.83	-7.50	-53.20	6.80	lsce	measure	
46.69	4.84	-7.11	-48.90	8.00	lsce	measure	
46.94	4.31	-6.85	-49.00	5.80	lsce	measure	
48.00	0.20	-6.42	-41.50	9.90	lsce	measure	
48.25	-0.04	-6.88	-43.20	11.80	lsce	measure	
48.19	-0.13	-6.74	-43.00	11.00	lsce	measure	
48.06	0.49	-6.84	-44.50	10.20	lsce	measure	
48.05	0.25	-6.71	-43.40	10.30	lsce	measure	
48.17	0.38	-6.51	-43.70	8.40	lsce	measure	
47.84	-0.33	-5.48	-37.90	5.90	lsce	measure	
48.03	-0.27	-6.58	-41.30	11.40	lsce	measure	
47.76	0.27	-6.69	-42.80	10.80	lsce	measure	
48.17	0.59	-6.82	-44.00	10.60	lsce	measure	
47.75	0.14	-6.41	-41.90	9.40	lsce	measure	
48.35	0.37	-6.26	-39.70	10.40	lsce	measure	
45.44	6.64	-13.26	-95.00	11.10	lsce	measure	
45.22	6.46	-12.76	-92.10	10.00	lsce	measure	
45.48	6.46	-11.42	-79.20	12.10	lsce	measure	
45.68	5.85	-10.41	-70.10	13.10	lsce	measure	
45.43	6.56	-13.15	-95.80	9.40	lsce	measure	
45.59	6.88	-14.13	-102.30	10.70	lsce	measure	
45.92	6.67	-12.76	-88.90	13.20	lsce	measure	
45.86	6.20	-9.31	-68.00	6.50	lsce	measure	
46.27	6.84	-11.76	-83.10	11.00	lsce	measure	
45.94	6.92	-13.22	-92.70	13.00	lsce	measure	
45.915	6.861	-13.15	-93.81	11.4	lsce	measure	
45.99	6.93	-12.98	-90.90	12.90	lsce	measure	
45.83	6.17	-9.31	-67.40	7.10	lsce	measure	
45.94	6.43	-12.07	-83.70	12.80	lsce	measure	
46.40	6.59	-11.94	-85.60	9.90	lsce	measure	
49.44	1.09	-7.09	-44.90	11.80	lsce	measure	
49.92	1.08	-6.83	-43.30	11.30	lsce	measure	
49.76	0.37	-6.72	-41.6	12.2	lsce	measure	
49.50	0.13	-6.73	-41.4	12.4	lsce	measure	
49.64	0.64	-6.77	-41.80	12.30	lsce	measure	
49.70	0.21	-6.52	-40.8	11.4	lsce	measure	
48.54	2.66	-6.97	-46.70	9.10	lsce	measure	
48.43	2.93	-6.45	-43.60	7.90	lsce	measure	
48.26	2.72	-6.56	-44.30	8.10	lsce	measure	
48.47	3.00	-7.38	-48.20	10.80	lsce	measure	
48.41	2.70	-7.00	-46.40	9.60	lsce	measure	
48.64	2.83	-6.79	-45.00	9.30	lsce	measure	
48.73	2.02	-6.58	-44.90	7.70	lsce	measure	
48.80	1.67	-6.54	-45.60	6.70	lsce	measure	
48.79	1.60	-6.97	-46.20	9.50	lsce	measure	
48.52	1.83	-7.17	-46.80	10.50	lsce	measure	
48.96	1.84	-6.54	-44.60	7.80	lsce	measure	
48.66	1.93	-6.73	-45.80	8.10	lsce	measure	
46.98	-0.22	-5.99	-39.20	8.80	lsce	measure	
46.86	-0.69	-5.47	-35.94	7.8	lsce	measure	
46.430	-0.503	-5.43	-33.25	10.2	lsce	measure	
46.22	-0.45	-5.47	-34.30	9.50	lsce	measure	
49.899	2.300	-7.13	-46.78	10.3	lsce	measure	
50.19	1.64	-6.52	-41.90	10.30	lsce	measure	
49.84	1.77	-7.33	-47.10	11.50	lsce	measure	
43.93	2.14	-6.92	-43.40	11.90	lsce	measure	
44.06	1.78	-7.27	-43.90	14.20	lsce	measure	
43.94	2.47	-6.91	-43.70	11.50	lsce	measure	
44.23	1.53	-6.65	-41.80	11.40	lsce	measure	
43.94	1.29	-8.20	-54.80	10.80	lsce	measure	
43.12	5.80	-6.89	-43.30	11.80	lsce	measure	
43.26	5.95	-6.87	-40.30	14.60	lsce	measure	
43.41	6.06	-6.85	-40.50	14.20	lsce	measure	
43.42	5.99	-7.04	-41.70	14.70	lsce	measure	
43.17	6.53	-6.73	-45.00	8.80	lsce	measure	
43.46	6.68	-6.05	-38.70	9.70	lsce	measure	
43.63	6.22	-8.04	-50.90	13.50	lsce	measure	
43.946	4.810	-9.88	-70.05	9.0	lsce	measure	
44.24	5.07	-9.12	-62.60	10.30	lsce	measure	
43.76	5.59	-9.58	-67.40	9.30	lsce	measure	
43.79	5.57	-9.44	-66.20	9.30	lsce	measure	
44.28	4.75	-10.25	-71.80	10.20	lsce	measure	
46.79	-2.06	-3.56	-25.70	2.80	lsce	measure	
46.57	-1.12	-5.24	-31.70	10.20	lsce	measure	
47.00	-2.25	-4.31	-28.30	6.20	lsce	measure	
46.63	-1.85	-3.67	-25.30	4.10	lsce	measure	
46.59	0.34	-6.18	-38.60	10.80	lsce	measure	
46.77	0.16	-5.99	-39.20	8.70	lsce	measure	
46.70	0.37	-5.90	-40.30	6.90	lsce	measure	
46.83	0.46	-5.69	-38.10	7.40	lsce	measure	
45.83	1.26	-6.98	-44.40	11.50	lsce	measure	
46.21	1.17	-6.36	-41.20	9.70	lsce	measure	
46.16	1.38	-6.82	-43.30	11.30	lsce	measure	
45.88	1.24	-6.93	-42.60	12.80	lsce	measure	
48.16	6.47	-8.68	-57.90	11.60	lsce	measure	
48.35	5.70	-7.79	-52.20	10.10	lsce	measure	
48.05	7.00	-9.92	-65.50	13.90	lsce	measure	
48.12	6.73	-9.23	-62.80	11.10	lsce	measure	
48.19	6.01	-8.24	-54.30	11.60	lsce	measure	
47.97	3.25	-7.23	-48.00	9.80	lsce	measure	
47.47	3.75	-7.43	-49.20	10.20	lsce	measure	
47.84	3.61	-7.00	-46.50	9.50	lsce	measure	
48.53	2.01	-7.14	-47.60	9.60	lsce	measure	
