lat	lon	Delta_18_16	Delta_D_H	DX	origin	type	subtype
50.33	3.75	-5.85	-38.85	7.96	lsce	model	ground
49.39	2.34	-5.76	-38.44	7.66	lsce	model	ground
49.39	2.81	-5.73	-38.06	7.79	lsce	model	ground
49.39	2.81	-5.73	-38.06	7.79	lsce	model	ground
50.79	1.41	nan	nan	nan	lsce	model	ground
50.33	2.81	-5.85	-39.07	7.76	lsce	model	ground
50.79	2.34	-5.89	-39.83	7.32	lsce	model	ground
45.64	3.28	-6.38	-41.91	9.11	lsce	model	ground
45.64	2.81	-5.78	-36.94	9.28	lsce	model	ground
45.64	2.81	-5.78	-36.94	9.28	lsce	model	ground
46.11	3.75	-6.21	-41.23	8.46	lsce	model	ground
45.64	3.28	-6.38	-41.91	9.11	lsce	model	ground
45.64	3.28	-6.38	-41.91	9.11	lsce	model	ground
45.64	2.81	-5.78	-36.94	9.28	lsce	model	ground
45.64	2.81	-5.78	-36.94	9.28	lsce	model	ground
43.30	-0.47	-5.80	-35.41	10.99	lsce	model	ground
43.30	-1.41	-5.23	-31.05	10.77	lsce	model	ground
43.30	-0.47	-5.80	-35.41	10.99	lsce	model	ground
43.30	-0.94	-5.69	-34.03	11.47	lsce	model	ground
42.83	-0.47	-6.40	-41.35	9.82	lsce	model	ground
43.30	0.00	-5.98	-37.59	10.25	lsce	model	ground
42.83	0.00	-6.87	-44.99	9.97	lsce	model	ground
42.83	0.00	-6.87	-44.99	9.97	lsce	model	ground
42.83	0.00	-6.87	-44.99	9.97	lsce	model	ground
43.30	0.47	-6.16	-38.97	10.31	lsce	model	ground
42.83	0.47	-6.79	-44.27	10.02	lsce	model	ground
42.83	0.47	-6.79	-44.27	10.02	lsce	model	ground
43.30	0.00	-5.98	-37.59	10.25	lsce	model	ground
42.83	0.47	-6.79	-44.27	10.02	lsce	model	ground
42.83	0.47	-6.79	-44.27	10.02	lsce	model	ground
43.30	0.00	-5.98	-37.59	10.25	lsce	model	ground
42.83	2.81	-5.42	-34.44	8.92	lsce	model	ground
42.83	2.34	-5.57	-35.75	8.81	lsce	model	ground
42.83	2.34	-5.57	-35.75	8.81	lsce	model	ground
42.37	3.28	nan	nan	nan	lsce	model	ground
42.37	3.28	nan	nan	nan	lsce	model	ground
42.37	2.81	-5.63	-35.26	9.79	lsce	model	ground
48.45	7.50	-7.13	-48.43	8.58	lsce	model	ground
48.45	7.03	-6.70	-45.13	8.50	lsce	model	ground
48.45	7.50	-7.13	-48.43	8.58	lsce	model	ground
48.45	7.50	-7.13	-48.43	8.58	lsce	model	ground
48.92	7.50	-6.70	-45.51	8.09	lsce	model	ground
48.92	7.50	-6.70	-45.51	8.09	lsce	model	ground
48.45	7.50	-7.13	-48.43	8.58	lsce	model	ground
48.45	7.03	-6.70	-45.13	8.50	lsce	model	ground
48.92	7.50	-6.70	-45.51	8.09	lsce	model	ground
47.98	7.50	-7.34	-49.38	9.37	lsce	model	ground
47.52	7.50	-7.38	-50.29	8.77	lsce	model	ground
47.98	7.03	-6.89	-46.30	8.85	lsce	model	ground
47.52	7.50	-7.38	-50.29	8.77	lsce	model	ground
47.52	7.03	-7.10	-47.57	9.25	lsce	model	ground
45.64	4.69	-5.85	-38.93	7.88	lsce	model	ground
46.11	4.69	-5.52	-35.33	8.80	lsce	model	ground
45.64	4.69	-5.85	-38.93	7.88	lsce	model	ground
46.11	4.69	-5.52	-35.33	8.80	lsce	model	ground
47.52	5.63	-6.20	-40.58	9.05	lsce	model	ground
47.52	6.09	-6.11	-39.39	9.47	lsce	model	ground
46.11	4.69	-5.52	-35.33	8.80	lsce	model	ground
46.58	4.69	-5.42	-33.69	9.68	lsce	model	ground
47.05	4.22	-5.37	-33.76	9.24	lsce	model	ground
47.98	0.00	-4.71	-30.30	7.41	lsce	model	ground
48.45	0.00	-4.93	-31.93	7.50	lsce	model	ground
47.98	0.00	-4.71	-30.30	7.41	lsce	model	ground
47.98	0.47	-4.91	-31.66	7.66	lsce	model	ground
47.98	0.47	-4.91	-31.66	7.66	lsce	model	ground
47.98	0.47	-4.91	-31.66	7.66	lsce	model	ground
47.98	-0.47	-4.77	-30.91	7.29	lsce	model	ground
47.98	-0.47	-4.77	-30.91	7.29	lsce	model	ground
47.98	0.47	-4.91	-31.66	7.66	lsce	model	ground
47.98	0.47	-4.91	-31.66	7.66	lsce	model	ground
47.52	0.00	-4.96	-32.04	7.66	lsce	model	ground
48.45	0.47	-4.87	-31.73	7.27	lsce	model	ground
45.64	6.56	-8.64	-61.00	8.12	lsce	model	ground
45.18	6.56	-8.89	-62.54	8.62	lsce	model	ground
45.64	6.56	-8.64	-61.00	8.12	lsce	model	ground
45.64	5.63	-7.01	-46.48	9.64	lsce	model	ground
45.64	6.56	-8.64	-61.00	8.12	lsce	model	ground
45.64	7.03	-9.39	-66.29	8.84	lsce	model	ground
46.11	6.56	-8.77	-60.37	9.77	lsce	model	ground
45.64	6.09	-8.20	-56.01	9.60	lsce	model	ground
46.11	7.03	-9.21	-65.34	8.37	lsce	model	ground
46.11	7.03	-9.21	-65.34	8.37	lsce	model	ground
46.11	7.03	-9.21	-65.34	8.37	lsce	model	ground
46.11	7.03	-9.21	-65.34	8.37	lsce	model	ground
45.64	6.09	-8.20	-56.01	9.60	lsce	model	ground
46.11	6.56	-8.77	-60.37	9.77	lsce	model	ground
46.58	6.56	-8.30	-56.76	9.61	lsce	model	ground
49.39	0.94	-5.61	-37.08	7.78	lsce	model	ground
49.86	0.94	-5.70	-38.24	7.37	lsce	model	ground
49.86	0.47	nan	nan	nan	lsce	model	ground
49.39	0.00	-5.60	-37.56	7.26	lsce	model	ground
49.86	0.47	nan	nan	nan	lsce	model	ground
49.86	0.00	nan	nan	nan	lsce	model	ground
48.45	2.81	-5.28	-34.14	8.12	lsce	model	ground
48.45	2.81	-5.28	-34.14	8.12	lsce	model	ground
48.45	2.81	-5.28	-34.14	8.12	lsce	model	ground
48.45	2.81	-5.28	-34.14	8.12	lsce	model	ground
48.45	2.81	-5.28	-34.14	8.12	lsce	model	ground
48.45	2.81	-5.28	-34.14	8.12	lsce	model	ground
48.92	1.88	-5.79	-38.60	7.69	lsce	model	ground
48.92	1.88	-5.79	-38.60	7.69	lsce	model	ground
48.92	1.41	-5.86	-39.20	7.65	lsce	model	ground
48.45	1.88	-5.67	-37.36	8.03	lsce	model	ground
48.92	1.88	-5.79	-38.60	7.69	lsce	model	ground
48.45	1.88	-5.67	-37.36	8.03	lsce	model	ground
47.05	0.00	-4.74	-30.33	7.62	lsce	model	ground
47.05	-0.47	-4.76	-30.24	7.84	lsce	model	ground
46.58	-0.47	-4.59	-28.44	8.24	lsce	model	ground
46.11	-0.47	-4.73	-29.15	8.70	lsce	model	ground
49.86	2.34	-5.59	-37.04	7.66	lsce	model	ground
50.33	1.41	nan	nan	nan	lsce	model	ground
49.86	1.88	-5.49	-36.13	7.77	lsce	model	ground
43.77	2.34	-5.05	-31.44	8.97	lsce	model	ground
44.24	1.88	-5.13	-31.32	9.68	lsce	model	ground
43.77	2.34	-5.05	-31.44	8.97	lsce	model	ground
44.24	1.41	-4.81	-28.79	9.70	lsce	model	ground
43.77	1.41	-4.97	-30.70	9.09	lsce	model	ground
43.30	5.63	-5.04	-32.05	8.28	lsce	model	ground
43.30	6.09	-5.37	-33.76	9.20	lsce	model	ground
43.30	6.09	-5.37	-33.76	9.20	lsce	model	ground
43.30	6.09	-5.37	-33.76	9.20	lsce	model	ground
43.30	6.56	-5.52	-35.43	8.71	lsce	model	ground
43.30	6.56	-5.52	-35.43	8.71	lsce	model	ground
43.77	6.09	-6.43	-41.55	9.88	lsce	model	ground
43.77	4.69	-5.20	-33.86	7.77	lsce	model	ground
44.24	5.16	-5.86	-38.81	8.04	lsce	model	ground
43.77	5.63	-6.10	-39.41	9.42	lsce	model	ground
43.77	5.63	-6.10	-39.41	9.42	lsce	model	ground
44.24	4.69	-5.26	-33.48	8.59	lsce	model	ground
46.58	-1.88	nan	nan	nan	lsce	model	ground
46.58	-0.94	-4.61	-28.72	8.16	lsce	model	ground
47.05	-2.34	nan	nan	nan	lsce	model	ground
46.58	-1.88	nan	nan	nan	lsce	model	ground
46.58	0.47	-4.57	-28.52	8.07	lsce	model	ground
46.58	0.00	-4.53	-28.18	8.03	lsce	model	ground
46.58	0.47	-4.57	-28.52	8.07	lsce	model	ground
47.05	0.47	-4.93	-31.54	7.94	lsce	model	ground
45.64	1.41	-4.92	-29.56	9.82	lsce	model	ground
46.11	0.94	-4.98	-30.83	8.99	lsce	model	ground
46.11	1.41	-5.37	-33.76	9.21	lsce	model	ground
45.64	1.41	-4.92	-29.56	9.82	lsce	model	ground
47.98	6.56	-6.18	-40.50	8.94	lsce	model	ground
48.45	5.63	-6.26	-41.04	9.02	lsce	model	ground
47.98	7.03	-6.89	-46.30	8.85	lsce	model	ground
47.98	6.56	-6.18	-40.50	8.94	lsce	model	ground
47.98	6.09	-6.12	-39.81	9.15	lsce	model	ground
47.98	3.28	-5.52	-35.80	8.38	lsce	model	ground
47.52	3.75	-5.57	-35.78	8.78	lsce	model	ground
47.98	3.75	-5.67	-36.81	8.54	lsce	model	ground
48.45	1.88	-5.67	-37.36	8.03	lsce	model	ground
48.92	2.34	-5.77	-38.05	8.13	lsce	model	ground
48.92	2.34	-5.77	-38.05	8.13	lsce	model	ground
48.92	2.34	-5.77	-38.05	8.13	lsce	model	ground
42.37	1.88	-7.42	-48.18	11.17	other	model	precip
50.79	3.28	-5.97	-38.78	8.99	other	model	precip
50.79	5.63	-6.47	-42.35	9.38	other	model	precip
50.79	3.28	-5.97	-38.78	8.99	other	model	precip
47.52	7.50	-7.36	-49.00	9.84	other	model	precip
48.45	7.97	-7.49	-49.81	10.09	other	model	precip
47.98	7.50	-7.44	-49.11	10.37	other	model	precip
48.45	7.97	-7.49	-49.81	10.09	other	model	precip
51.73	0.00	-6.29	-41.84	8.51	other	model	precip
49.39	6.09	-6.61	-42.62	10.26	other	model	precip
50.79	4.22	-5.88	-37.96	9.11	other	model	precip
46.11	8.91	-8.23	-55.34	10.48	other	model	precip
46.58	8.44	-10.31	-72.11	10.37	other	model	precip
46.58	8.44	-10.31	-72.11	10.37	other	model	precip
47.05	7.50	-8.54	-59.02	9.32	other	model	precip
47.52	11.25	-9.96	-70.16	9.54	other	model	precip
47.52	7.50	-7.36	-49.00	9.84	other	model	precip
47.52	9.38	-8.66	-59.85	9.42	other	model	precip
47.52	7.97	-7.57	-50.94	9.58	other	model	precip
47.52	7.97	-7.57	-50.94	9.58	other	model	precip
47.98	11.25	-8.79	-60.90	9.39	other	model	precip
48.92	9.38	-7.52	-50.21	9.93	other	model	precip
48.92	8.44	-7.16	-47.91	9.36	other	model	precip
49.39	8.91	-6.81	-45.49	8.95	other	model	precip
49.86	6.56	-6.98	-45.47	10.35	other	model	precip
49.86	8.44	-7.06	-47.19	9.30	other	model	precip
50.33	7.03	-6.88	-45.19	9.85	other	model	precip
50.33	7.50	-7.11	-47.35	9.53	other	model	precip
50.33	7.50	-7.11	-47.35	9.53	other	model	precip
50.33	9.84	-7.43	-49.39	10.04	other	model	precip
51.26	8.44	-7.27	-48.07	10.12	other	model	precip
51.73	6.56	-6.30	-41.62	8.78	other	model	precip
50.79	1.88	-6.03	-39.48	8.79	other	model	precip
49.86	-5.63	-4.75	-30.36	7.65	other	model	precip
50.33	-5.16	-5.19	-33.56	7.93	other	model	precip
50.33	-5.63	-4.79	-30.75	7.58	other	model	precip
50.33	-5.16	-5.19	-33.56	7.93	other	model	precip
50.33	-5.63	-4.79	-30.75	7.58	other	model	precip
50.33	-5.63	-4.79	-30.75	7.58	other	model	precip
50.33	-5.16	-5.19	-33.56	7.93	other	model	precip
50.33	-3.75	-5.45	-35.42	8.20	other	model	precip
50.33	-4.69	-4.99	-31.86	8.09	other	model	precip
50.79	-1.88	-5.61	-36.74	8.12	other	model	precip
50.79	-4.22	-5.68	-37.38	8.09	other	model	precip
50.79	-4.22	-5.68	-37.38	8.09	other	model	precip
50.79	-4.69	-5.06	-32.43	8.04	other	model	precip
50.79	-4.69	-5.06	-32.43	8.04	other	model	precip
50.79	-2.34	-5.47	-35.64	8.10	other	model	precip
50.79	-3.28	-5.65	-36.84	8.34	other	model	precip
50.79	-2.81	-5.42	-35.31	8.07	other	model	precip
50.79	-0.94	-5.26	-33.78	8.26	other	model	precip
50.79	-1.88	-5.61	-36.74	8.12	other	model	precip
50.79	0.00	-5.21	-33.87	7.82	other	model	precip
50.79	-1.41	-5.69	-37.26	8.24	other	model	precip
50.79	-0.47	-5.27	-34.04	8.16	other	model	precip
50.79	0.47	-5.30	-34.65	7.77	other	model	precip
50.79	-0.94	-5.26	-33.78	8.26	other	model	precip
50.79	-1.41	-5.69	-37.26	8.24	other	model	precip
50.79	-1.41	-5.69	-37.26	8.24	other	model	precip
50.79	-3.28	-5.65	-36.84	8.34	other	model	precip
50.79	0.94	-5.46	-35.79	7.87	other	model	precip
51.26	0.94	-5.89	-38.65	8.48	other	model	precip
51.26	0.00	-5.97	-39.28	8.47	other	model	precip
51.73	-2.34	-6.12	-40.74	8.21	other	model	precip
51.73	-1.88	-6.24	-41.59	8.35	other	model	precip
39.09	8.91	-4.90	-27.87	11.36	other	model	precip
40.49	8.44	-5.05	-30.85	9.57	other	model	precip
41.90	12.66	-6.01	-37.20	10.87	other	model	precip
42.37	12.19	-6.14	-37.82	11.26	other	model	precip
42.37	11.72	-5.57	-34.17	10.40	other	model	precip
42.37	11.72	-5.57	-34.17	10.40	other	model	precip
42.83	10.31	-5.22	-33.65	8.14	other	model	precip
43.30	11.25	-5.92	-36.95	10.43	other	model	precip
43.77	10.31	-5.66	-36.17	9.14	other	model	precip
43.77	11.25	-6.32	-38.71	11.83	other	model	precip
43.77	7.97	-6.13	-38.55	10.48	other	model	precip
44.24	9.84	-5.96	-37.01	10.66	other	model	precip
44.24	7.50	-8.36	-57.18	9.68	other	model	precip
44.24	8.91	-6.09	-38.53	10.22	other	model	precip
44.24	9.84	-5.96	-37.01	10.66	other	model	precip
45.18	9.84	-6.60	-43.75	9.01	other	model	precip
45.18	8.44	-5.84	-38.19	8.56	other	model	precip
45.64	9.38	-6.17	-39.97	9.41	other	model	precip
45.64	8.44	-6.51	-41.34	10.73	other	model	precip
46.11	10.31	-9.19	-62.42	11.11	other	model	precip
46.11	8.44	-9.00	-60.84	11.15	other	model	precip
46.11	11.25	-8.37	-56.24	10.71	other	model	precip
46.11	7.97	-10.86	-75.22	11.67	other	model	precip
46.11	11.25	-8.37	-56.24	10.71	other	model	precip
46.11	10.78	-8.89	-60.07	11.05	other	model	precip
46.11	10.78	-8.89	-60.07	11.05	other	model	precip
46.11	9.38	-8.37	-55.93	11.02	other	model	precip
50.79	5.63	-6.47	-42.35	9.38	other	model	precip
51.73	5.16	-6.21	-40.68	9.02	other	model	precip
52.20	5.16	-6.48	-42.95	8.89	other	model	precip
40.49	-3.75	-6.68	-42.05	11.41	other	model	precip
40.96	0.47	-5.50	-33.77	10.25	other	model	precip
41.43	-6.09	-6.38	-39.78	11.23	other	model	precip
41.43	-6.56	-6.05	-37.00	11.38	other	model	precip
41.43	-4.69	-7.53	-49.95	10.25	other	model	precip
41.90	-0.94	-5.59	-33.82	10.91	other	model	precip
41.90	2.81	-5.49	-34.24	9.71	other	model	precip
42.37	-5.63	-6.15	-38.33	10.87	other	model	precip
42.83	-7.03	-6.14	-37.19	11.94	other	model	precip
43.30	-3.75	-5.52	-33.07	11.07	other	model	precip
42.37	1.88	-6.87	-45.89	9.09	other	model	ground
50.79	3.28	-6.01	-40.39	7.67	other	model	ground
50.79	5.63	-6.35	-42.67	8.11	other	model	ground
50.79	3.28	-6.01	-40.39	7.67	other	model	ground
47.52	7.50	-7.38	-50.29	8.77	other	model	ground
48.45	7.97	-7.19	-48.66	8.89	other	model	ground
47.98	7.50	-7.34	-49.38	9.37	other	model	ground
48.45	7.97	-7.19	-48.66	8.89	other	model	ground
51.73	0.00	-5.75	-39.96	6.03	other	model	ground
49.39	6.09	-6.24	-41.57	8.38	other	model	ground
50.79	4.22	-6.03	-40.31	7.94	other	model	ground
46.11	8.91	-7.77	-52.43	9.74	other	model	ground
46.58	8.44	-9.39	-66.47	8.64	other	model	ground
46.58	8.44	-9.39	-66.47	8.64	other	model	ground
47.05	7.50	-8.64	-60.37	8.72	other	model	ground
47.52	11.25	-9.83	-70.29	8.35	other	model	ground
47.52	7.50	-7.38	-50.29	8.77	other	model	ground
47.52	9.38	-8.71	-60.86	8.81	other	model	ground
47.52	7.97	-7.62	-52.50	8.49	other	model	ground
47.52	7.97	-7.62	-52.50	8.49	other	model	ground
47.98	11.25	-8.76	-61.66	8.38	other	model	ground
48.92	9.38	-7.04	-47.68	8.65	other	model	ground
48.92	8.44	-7.13	-48.77	8.30	other	model	ground
49.39	8.91	-6.83	-46.58	8.10	other	model	ground
49.86	6.56	-6.44	-43.33	8.20	other	model	ground
49.86	8.44	-7.13	-48.80	8.23	other	model	ground
50.33	7.03	-6.76	-45.92	8.13	other	model	ground
50.33	7.50	-7.15	-49.27	7.91	other	model	ground
50.33	7.50	-7.15	-49.27	7.91	other	model	ground
50.33	9.84	-7.01	-47.71	8.41	other	model	ground
51.26	8.44	-6.31	-42.76	7.68	other	model	ground
51.73	6.56	-6.00	-40.01	8.01	other	model	ground
50.79	1.88	-5.81	-39.23	7.23	other	model	ground
49.86	-5.63	nan	nan	nan	other	model	ground
50.33	-5.16	-5.08	-33.74	6.88	other	model	ground
50.33	-5.63	nan	nan	nan	other	model	ground
50.33	-5.16	-5.08	-33.74	6.88	other	model	ground
50.33	-5.63	nan	nan	nan	other	model	ground
50.33	-5.63	nan	nan	nan	other	model	ground
50.33	-5.16	-5.08	-33.74	6.88	other	model	ground
50.33	-3.75	-5.25	-35.16	6.82	other	model	ground
50.33	-4.69	nan	nan	nan	other	model	ground
50.79	-1.88	-5.15	-34.63	6.56	other	model	ground
50.79	-4.22	-5.61	-37.67	7.23	other	model	ground
50.79	-4.22	-5.61	-37.67	7.23	other	model	ground
50.79	-4.69	nan	nan	nan	other	model	ground
50.79	-4.69	nan	nan	nan	other	model	ground
50.79	-2.34	-5.14	-34.69	6.44	other	model	ground
50.79	-3.28	-5.45	-36.65	6.95	other	model	ground
50.79	-2.81	-5.17	-34.91	6.47	other	model	ground
50.79	-0.94	nan	nan	nan	other	model	ground
50.79	-1.88	-5.15	-34.63	6.56	other	model	ground
50.79	0.00	nan	nan	nan	other	model	ground
50.79	-1.41	-5.16	-34.66	6.62	other	model	ground
50.79	-0.47	nan	nan	nan	other	model	ground
50.79	0.47	nan	nan	nan	other	model	ground
50.79	-0.94	nan	nan	nan	other	model	ground
50.79	-1.41	-5.16	-34.66	6.62	other	model	ground
50.79	-1.41	-5.16	-34.66	6.62	other	model	ground
50.79	-3.28	-5.45	-36.65	6.95	other	model	ground
50.79	0.94	nan	nan	nan	other	model	ground
51.26	0.94	-5.55	-37.84	6.55	other	model	ground
51.26	0.00	-5.51	-37.88	6.20	other	model	ground
51.73	-2.34	-5.83	-40.63	5.99	other	model	ground
51.73	-1.88	-5.82	-40.49	6.11	other	model	ground
39.09	8.91	-3.75	-23.24	6.80	other	model	ground
40.49	8.44	-4.56	-29.36	7.11	other	model	ground
41.90	12.66	-5.72	-36.19	9.59	other	model	ground
42.37	12.19	-5.66	-36.18	9.08	other	model	ground
42.37	11.72	-5.28	-33.33	8.90	other	model	ground
42.37	11.72	-5.28	-33.33	8.90	other	model	ground
42.83	10.31	nan	nan	nan	other	model	ground
43.30	11.25	-5.31	-34.35	8.10	other	model	ground
43.77	10.31	-5.34	-34.81	7.91	other	model	ground
43.77	11.25	-5.47	-35.36	8.41	other	model	ground
43.77	7.97	nan	nan	nan	other	model	ground
44.24	9.84	-5.13	-32.93	8.15	other	model	ground
44.24	7.50	-8.13	-55.65	9.38	other	model	ground
44.24	8.91	nan	nan	nan	other	model	ground
44.24	9.84	-5.13	-32.93	8.15	other	model	ground
45.18	9.84	-6.78	-45.33	8.88	other	model	ground
45.18	8.44	-5.98	-39.03	8.80	other	model	ground
45.64	9.38	-6.31	-40.97	9.48	other	model	ground
45.64	8.44	-6.42	-40.53	10.81	other	model	ground
46.11	10.31	-8.72	-59.08	10.72	other	model	ground
46.11	8.44	-8.21	-55.22	10.49	other	model	ground
46.11	11.25	-8.13	-54.82	10.20	other	model	ground
46.11	7.97	-9.35	-64.58	10.18	other	model	ground
46.11	11.25	-8.13	-54.82	10.20	other	model	ground
46.11	10.78	-8.31	-55.46	11.05	other	model	ground
46.11	10.78	-8.31	-55.46	11.05	other	model	ground
46.11	9.38	-8.16	-54.50	10.76	other	model	ground
50.79	5.63	-6.35	-42.67	8.11	other	model	ground
51.73	5.16	-5.96	-39.37	8.29	other	model	ground
52.20	5.16	-6.01	-40.12	7.98	other	model	ground
40.49	-3.75	-6.38	-41.23	9.85	other	model	ground
40.96	0.47	-5.11	-32.37	8.50	other	model	ground
41.43	-6.09	-6.30	-40.22	10.22	other	model	ground
41.43	-6.56	-5.86	-37.03	9.82	other	model	ground
41.43	-4.69	-7.28	-49.60	8.62	other	model	ground
41.90	-0.94	-5.51	-35.31	8.74	other	model	ground
41.90	2.81	-5.33	-33.63	8.99	other	model	ground
42.37	-5.63	-5.73	-36.63	9.20	other	model	ground
42.83	-7.03	-5.99	-37.30	10.59	other	model	ground
43.30	-3.75	-5.47	-33.30	10.43	other	model	ground
